Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
335760,Influenza - Avian,;H5N1 HPAI;,52.339865,1.37221,"Halesworth, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-10-28T00:00:00Z,2022-11-11T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
310637,Influenza - Avian,;H5N1 HPAI;,52.02,0.77,"Sudbury, Babergh",U.K. of Great Britain and Northern Ireland,Europe,2021-12-03T00:00:00Z,2022-01-07T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
318335,Influenza - Avian,;H5N1 HPAI;,52.13,1.24,"Woodbridge, East Suffolk ",U.K. of Great Britain and Northern Ireland,Europe,2022-03-24T00:00:00Z,2022-04-01T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
314984,Influenza - Avian,;H5N1 HPAI;,52.28,0.99,"Elmswell, Mid Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-02-14T00:00:00Z,2022-03-04T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
318350,Influenza - Avian,;H5N1 HPAI;,52.1,1.19,"Woodbridge, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-03-23T00:00:00Z,2022-04-01T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
314980,Influenza - Avian,;H5N1 HPAI;,52.36,0.98,"Redgrave, Mid Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-02-26T00:00:00Z,2022-03-04T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
335189,Influenza - Avian,;H5N1 HPAI;,52.19,1.51,"Saxmundham, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-10-25T00:00:00Z,2022-11-04T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
338406,Influenza - Avian,;H5N1 HPAI;,52.36,0.98,"Location* Redgrave, Mid Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-12-06T00:00:00Z,2022-12-16T00:00:00Z,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
332275,Influenza - Avian,;H5N1 HPAI;,52.35,0.78,"Honington, West Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-09-09T00:00:00Z,2022-09-23T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
316852,Influenza - Avian,;H5N1 HPAI;,52.13,1.27,"Woodbridge, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-03-16T00:00:00Z,2022-03-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
333146,Influenza - Avian,;H5N1 HPAI;,51.98,0.89,"Hadleigh, Babergh",U.K. of Great Britain and Northern Ireland,Europe,2022-09-30T00:00:00Z,2022-10-10T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
335781,Influenza - Avian,;H5N1 HPAI;,52.29,1.4,"Halesworth, East Suffolk",U.K. of Great Britain and Northern Ireland,Europe,2022-10-18T00:00:00Z,2022-10-28T00:00:00Z,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
